name,sector,capacity,spaces_available,status
Puri Cyclone Shelter,Puri,500,280,Active
Paradeep Coast Guard Camp,Paradeep,600,340,Active
Guwahati Relief Hall,Guwahati,300,120,Active
Srinagar Indoor Stadium Shelter,Srinagar,1000,450,Active
Patna Community Relief Center,Patna,400,180,Active
Shimla Disaster Camp,Shimla,200,95,Active
Leh Army Transit Relief Shelter,Leh,300,110,Active
Kochi Port Shelter,Kochi,350,150,Active
Kakinada Cyclone Protection Camp,Kakinada,450,210,Active
Kedarnath Base Camp Shelter,Kedarnath,150,45,Active
Joshimath Transit Relief Camp,Joshimath,250,80,Active
Bengaluru Civic Shelter,Bengaluru,200,105,Active
Mumbai Sports Complex Relief Camp,Mumbai,500,240,Active
Gangtok Town Hall Shelter,Gangtok,200,60,Active
Darjeeling relief camp,Darjeeling,150,55,Active
Faridabad Community Camp,Faridabad,200,90,Active
Itanagar Sports Complex Shelter,Itanagar,200,85,Active
